Date,Exercise,notes,,,,,,,,,
1/22/20,body squat,,20,,,,,,,,
,straddle lift,,25x5,54x15x1,,,,,,,
,SMR on upper back,softball,2,,,,,,,,
,mod pushup,,20,,,,,,,,
,PG row machine,,70x12,55x8,,,,,,,
1/18/20,reverse stomach crunch,,20,,,,,,,,
,90 back xt,HBH,15,,,,,,,,
,CGPD,,70x17x1,,,,,,,,
,DB fly,,10x20x1,,,,,,,,
,DB Lateral raise,,3x20x1,,,,,,,,
1/15/20,leg xt ,no l/o,55x10,,,,,,,,
,leg xt ,e/o,70x10x1,,,,,,,,
,seated leg curl,,55x10,70x10x1,,,,,,,
,leg blaster,no l/o,45x20x1,,,,,,,,
,bb bench press,one and half,44x20x1,,,,,,,,
,CH body row,,0x12x1,,,,,,,,
,Arnold press,,15x15x1,,,,,,,,
1/11/20,ALT DB curl,,15x20x1,,,,,,,,
,rope pd,,15x20x1,,,,,,,,
,military press,,22x20x1,,,,,,,,
,pro pd,,70x20x1,,,,,,,,
,mod pushup,rp,20,,,,,,,,
,situp,pauses,20,,,,,,,,
,leg press,,171x20x1,,,,,,,,
1/8/20,body squat,,20,,,,,,,,
,bb back squat,,40x20x1,,,,,,,,
,BB hip thrust,,47x15x1,,,,,,,,
,db romanian deadlift,,20x15x1,,,,,,,,
,45 back xt,,15,,,,,,,,
,db bench press,,20x20x1,,,,,,,,
,db pullover,,20x10x1,,,,,,,,
,st arm pd,,15x20x1,,,,,,,,
1/4/20,body squat,,20,,,,,,,,
,PGOHDB press,,15x20x1,,,,,,,,
,PGPD,,70x15x1,,,,,,,,
,db bench press,,20x12x1,,,,,,,,
,band row,yellow,20x1,,,,,,,,
,90 back xt ,HAC,20,,,,,,,,
,leg raise,,5x20x1,,,,,,,,
,db straddle lift,,35x15x1,,,,,,,,
12/11/19,band chins,L,0x1,0x2,0x3,0x4,0x4,0x4,0x4,0x4,
,band row,yellow,20x1,,,,,,,,
12/7/19,mod pushup,,5x2,,,,,,,,
,pushup,3b,1x1,,,,,,,,
,pushup,2b,5x5,,,,,,,,
12/4/19,90 back xt,,20,,,,,,,,
,45 back xt,,13,,,,,,,,
,body squat,,20,,,,,,,,
,arnold press,,15x20x1,,,,,,,,
,pg row machine,,70x20x1,,,,,,,,
,bb bench press,,57x11x1,,,,,,,,
,bb back squat,,20x5x1,40x20x1,,,,,,,
11/30/19,band chins,R,0x1,0x1,0x1,0x2,0x3,0x3,0x3,0x3,0x3
11/27/19,db bench press,,15x10x2,25x5x2,35x1,35x2,35x3,35x3,35x3,,
11/23/19,db pullover,rp,20x20x1,,,,,,,,
,st arm pd,,15x20x1,,,,,,,,
,body squat,,20,,,,,,,,
,mod pushup,rp,20,,,,,,,,
,band row,black,20x1,,,,,,,,
,hip abduction,,100x20x1,,,,,,,,
,db straddle lift,,35x20x1,,,,,,,,
11/20/10,leg xt,e/o,55x10x1,70x10x1,,,,,,,
,prone leg curl,e/o,40x10x1,50x10x1,,,,,,,
,leg blaster,no l/o,45x15x1,,,,,,,,
,PGOHDB press,,15x20x1,,,,,,,,
,PGPD,,70x20x1,,,,,,,,
,incline db press,,20x13x1,,,,,,,,
,rear delt fly,1 pink,15x1,,,,,,,,
,rear delt fly,2 pink ,5x1,,,,,,,,
11/16/19,alt db curl,,15x20x1,,,,,,,,
,rope tricap pd,,20x10x1,15x10x1,,,,,,,
,leg raise,e/o,5x20x1,,,,,,,,
,supermans,,5x20x1,,,,,,,,
,situp,HBH,20,,,,,,,,
,db side bend,,20x20x1,,,,,,,,
,pg row machine,,55x20x1,,,,,,,,
,bb bench press,one and half,44x20x1,,,,,,,,
11/13/19,body squat,,29,,,,,,,,
,bb back squat,,40x10x1,60x5x1,60x5x1,60x5x1,60x5x1,60x12x1,,,
,leg raise,,20,,,,,,,,
11/9/19,band pullup,,0x1x5,,,,,,,,
,mod body row,,0x1,0x2,0x3,0x4,0x5,0x5,,,
,pro pd,,70x20x1,,,,,,,,
11/6/19,mod pushup,,0x5x2,,,,,,,,
,pushup,3b,1x1,,,,,,,,
,pushup,2b,5x2,,,,,,,,
11/2/19,body squat,,20,,,,,,,,
,straddle lift,,25x5x1,54x5x2,65x5x3,,,,,,
,leg press,,160x20x1,,,,,,,,
10/30/19,CGPD,,55x10,70x5,85x1,100x5x5,,,,,
,db pullover,,20x12x1,,,,,,,,
,st arm pd,,15x20x1,20x8x1,,,,,,,
10/26/19,ftb military press,,22x10,34x5,44x5,56x5x3,,,,,
,db bench press,,15x10x2,25x1x1,25x2x1,25x3x1,25x4x1,25x5x1,,,
10/23/19,hip thrust,,0x20x1,47x5x1,87x5x5,,,,,,
,body squat,,20,,,,,,,,
,db straddle lift,,30x20x1,,,,,,,,
10/19/19,bb bench press,,45x5x2,57x1x1,68x5x5,,,,,,
,pg bench row,,25x10x3,,,,,,,,
,incline db press,,15x15x1,,,,,,,,
10/16/19,body squat,,20,,,,,,,,
,bb back squat,,40x5x3,50x5x2,50x12x1,,,,,,
,90 back xt,,15,,,,,,,,
,leg raise,,5x20x1,,,,,,,,
,db side bend,,25x12x1,,,,,,,,
10/7/19,PGOHDB press,,5x20x1,12x10x1,20x5x2,20x5x2,,,,,
,PGPD,,70x5x2,100x1x1,100x2x1,100x3x1,100x4x1,100x5x1,,,
,mod pushup,,20,,,,,,,,
10/5/19,supermans,,0x10x2,,,,,,,,
,body squat,no l/o,20,,,,,,,,
9/30/19,banded glute bridge,,20,,,,,,,,
,leg press,no l/0,120x20x1,,,,,,,,
,body squat,,20,,,,,,,,
,db side bend,,20x20x1,,,,,,,,
,military press,,22x20x1,,,,,,,,
,mod body row,,0x1x3,0x7x1,,,,,,,
9/25/19,mod pushup,,5x2,,,,,,,,
,pushup,4b,5x1,,,,,,,,
,pushup,3b,5x4,8x1,,,,,,,
,CGPD,,70x5x2,100x1x1,100x2x1,100x3x1,100x4x1,100x5x1,,,
9/18/19,body squat,,20,,,,,,,,
,bb bench press,,44x18x1,,,,,,,,
,pro pd,,55x20x1,,,,,,,,
,PGOHDB press,,15x15x1,,,,,,,,
,band row,yellow,20x1,,,,,,,,
,bb back squat,,40x5x1,,,,,,,,
,situp,,20,,,,,,,,
9/11/19,body squat,,20,,,,,,,,
,hip thrust,,15,,,,,,,,
,90 back xt,,12,,,,,,,,
,leg raise,,5x15x1,,,,,,,,
,db straddle lift,,20x20x1,,,,,,,,
,pg lat pd,,55x17x1,,,,,,,,
,mod pushup,2b,20x1,,,,,,,,
,cg row machine,,40x15x1,,,,,,,,
9/4/19,bb bench press,,44x4x2,68x5x3,,,,,,,
,cgpd,,55x5x2,70x5x1,85x1x1,85x3x1,85x5x1,,,,
,PGOHDB press,,20x5x2,,,,,,,,
8/28/19,military press,,17x20x1,,,,,,,,
,OHLPD,,55x15x1,,,,,,,,
,mod pushup,3b,20,,,,,,,,
,db pullover,,15x12x1,,,,,,,,
,st arm pd,,10x15x1,,,,,,,,
,body squat,,20,,,,,,,,
,45 back xt,,15,,,,,,,,
8/21/19,leg raise,,15,,,,,,,,
,supermans,,0x15x1,,,,,,,,
,body squat,,20,,,,,,,,
,bb bench press,,44x15x1,,,,,,,,
,pgpd,,55x12x1,,,,,,,,
,PGOHDB press,,12x10x1,,,,,,,,
,band row,orange,20,,,,,,,,
,db straddle lift,,15x15x1,,,,,,,,
8/14/19,PGOHDB press,,5x10x1,,,,,,,,
,pg lat pd,,40x10x1,,,,,,,,
,bb bench shrug,,44x5x1,,,,,,,,
,bb bench press,,44x5x1,,,,,,,,
,band row,orange,10,,,,,,,,
,body squat,,20,,,,,,,,
,glute bridge,,20,,,,,,,,
,hip thrust,,5,,,,,,,,
,leg raise,,0x7x1,,,,,,,,
,supermans,,0x7x1,,,,,,,,
,db curl,,8x10x1,,,,,,,,
,tricep pushdown with rope,,10x10x1,,,,,,,,
